info @storybook/react v6.1.15
info 
info => Cleaning outputDir /tmp/chromatic--52269-gRr0kOkvSQM6
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/common/polyfills.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/preview/globals.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/storybook-init-framework-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/preview.js-generated-config-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 69% building 793/804 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/function-bind/implementation.js
<s> [webpack.Progress] 69% building 794/804 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/function-bind/implementation.js
<s> [webpack.Progress] 69% building 795/804 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/function-bind/implementation.js
<s> [webpack.Progress] 69% building 795/805 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/pick.js
<s> [webpack.Progress] 69% building 796/805 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/pick.js
<s> [webpack.Progress] 69% building 797/805 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/pick.js
<s> [webpack.Progress] 69% building 797/806 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/index.js
<s> [webpack.Progress] 69% building 798/806 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/index.js
<s> [webpack.Progress] 69% building 799/806 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/index.js
<s> [webpack.Progress] 69% building 800/806 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/index.js
<s> [webpack.Progress] 69% building 801/806 modules 5 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/index.js
<s> [webpack.Progress] 69% building 801/807 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/globalthis/implementation.browser.js
<s> [webpack.Progress] 69% building 802/807 modules 5 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/globalthis/implementation.browser.js
<s> [webpack.Progress] 69% building 803/807 modules 4 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/globalthis/implementation.browser.js
<s> [webpack.Progress] 69% building 804/807 modules 3 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/globalthis/implementation.browser.js
<s> [webpack.Progress] 69% building 804/808 modules 4 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/has/src/index.js
<s> [webpack.Progress] 69% building 804/809 modules 5 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/StoryRenderer.js
<s> [webpack.Progress] 69% building 804/810 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/overlayscrollbars/js/OverlayScrollbars.js
<s> [webpack.Progress] 69% building 804/811 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/csf/dist/index.js
<s> [webpack.Progress] 69% building 804/812 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/loadCsf.js
<s> [webpack.Progress] 69% building 804/813 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/url.js
<s> [webpack.Progress] 69% building 805/813 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/url.js
<s> [webpack.Progress] 69% building 806/813 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/url.js
<s> [webpack.Progress] 69% building 806/814 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Description.js
<s> [webpack.Progress] 69% building 806/815 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/IconGallery.js
<s> [webpack.Progress] 69% building 806/816 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/array.prototype.flatmap/implementation.js
<s> [webpack.Progress] 69% building 806/817 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/refractor/lang/javascript.js
<s> [webpack.Progress] 69% building 806/818 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/refractor/lang/clike.js
<s> [webpack.Progress] 69% building 807/818 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/refractor/lang/clike.js
<s> [webpack.Progress] 69% building 807/819 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-syntax-highlighter/dist/cjs/checkForListedLanguage.js
<s> [webpack.Progress] 69% building 807/820 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@babel/runtime/helpers/objectWithoutProperties.js
<s> [webpack.Progress] 69% building 808/820 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@babel/runtime/helpers/objectWithoutProperties.js
<s> [webpack.Progress] 69% building 808/821 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/fast-deep-equal/index.js
<s> [webpack.Progress] 68% building 808/822 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/array.prototype.flat/implementation.js
<s> [webpack.Progress] 68% building 808/823 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/symbol.prototype.description/implementation.js
<s> [webpack.Progress] 68% building 808/824 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/assertRecord.js
<s> [webpack.Progress] 68% building 808/825 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ToPropertyDescriptor.js
<s> [webpack.Progress] 68% building 808/826 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IsRegExp.js
<s> [webpack.Progress] 68% building 808/827 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/stable/stable.js
<s> [webpack.Progress] 68% building 809/827 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/stable/stable.js
<s> [webpack.Progress] 68% building 809/828 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/2018/Type.js
<s> [webpack.Progress] 68% building 809/829 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/2018/SpeciesConstructor.js
<s> [webpack.Progress] 68% building 809/830 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/2018/IsCallable.js
<s> [webpack.Progress] 68% building 809/831 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IsArray.js
<s> [webpack.Progress] 68% building 809/832 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/has-symbols/shams.js
<s> [webpack.Progress] 68% building 810/832 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/has-symbols/shams.js
<s> [webpack.Progress] 68% building 810/833 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/doctrine/lib/doctrine.js
<s> [webpack.Progress] 68% building 810/834 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/getOwnPropertyDescriptor.js
<s> [webpack.Progress] 68% building 810/835 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/ColorPalette.js
<s> [webpack.Progress] 68% building 810/836 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Typeset.js
<s> [webpack.Progress] 68% building 811/836 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Typeset.js
<s> [webpack.Progress] 68% building 811/837 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/IFrame.js
<s> [webpack.Progress] 68% building 811/838 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Story.js
<s> [webpack.Progress] 67% building 811/839 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Source.js
<s> [webpack.Progress] 67% building 811/840 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Preview.js
<s> [webpack.Progress] 68% building 812/840 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Preview.js
<s> [webpack.Progress] 68% building 813/840 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Preview.js
<s> [webpack.Progress] 68% building 814/840 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/Preview.js
<s> [webpack.Progress] 68% building 814/841 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/DocsPage.js
<s> [webpack.Progress] 68% building 814/842 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.parse-int.js
<s> [webpack.Progress] 68% building 815/842 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.parse-int.js
<s> [webpack.Progress] 68% building 815/843 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/store2/dist/store2.js
<s> [webpack.Progress] 68% building 816/843 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/store2/dist/store2.js
<s> [webpack.Progress] 68% building 816/844 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/string.prototype.matchall/implementation.js
<s> [webpack.Progress] 67% building 816/845 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/string.prototype.matchall/regexp-matchall.js
<s> [webpack.Progress] 68% building 817/845 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/string.prototype.matchall/regexp-matchall.js
<s> [webpack.Progress] 67% building 817/846 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/deep-object-diff/dist/utils/index.js
<s> [webpack.Progress] 67% building 817/847 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/source-loader/extract-source.js
<s> [webpack.Progress] 67% building 818/847 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/source-loader/extract-source.js
<s> [webpack.Progress] 67% building 818/848 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.allsettled/implementation.js
<s> [webpack.Progress] 67% building 818/849 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/AddEntriesFromIterable.js
<s> [webpack.Progress] 67% building 819/849 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/AddEntriesFromIterable.js
<s> [webpack.Progress] 67% building 819/850 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper-tooltip/dist/esm/react-popper-tooltip.js
<s> [webpack.Progress] 67% building 819/851 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/CreateDataPropertyOrThrow.js
<s> [webpack.Progress] 67% building 819/852 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ToPropertyKey.js
<s> [webpack.Progress] 67% building 819/853 modules 34 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.parse-float.js
<s> [webpack.Progress] 67% building 819/854 modules 35 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.number.is-nan.js
<s> [webpack.Progress] 67% building 819/855 modules 36 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 820/855 modules 35 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 821/855 modules 34 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 822/855 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 823/855 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 824/855 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 825/855 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 67% building 826/855 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 827/855 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 828/855 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 829/855 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 830/855 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 831/855 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 68% building 831/856 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/defaultValues/index.js
<s> [webpack.Progress] 68% building 832/856 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/defaultValues/index.js
<s> [webpack.Progress] 68% building 832/857 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/get-iterator.js
<s> [webpack.Progress] 68% building 832/858 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.pattern-match.js
<s> [webpack.Progress] 68% building 832/859 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.replace-all.js
<s> [webpack.Progress] 68% building 832/860 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.observable.js
<s> [webpack.Progress] 67% building 832/861 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.dispose.js
<s> [webpack.Progress] 68% building 833/861 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.dispose.js
<s> [webpack.Progress] 68% building 834/861 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.dispose.js
<s> [webpack.Progress] 68% building 835/861 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.dispose.js
<s> [webpack.Progress] 68% building 836/861 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.dispose.js
<s> [webpack.Progress] 68% building 836/862 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 837/862 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 838/862 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 839/862 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 840/862 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 841/862 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 842/862 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 843/862 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 844/862 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 845/862 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 846/862 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/esnext.symbol.async-dispose.js
<s> [webpack.Progress] 68% building 846/863 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 68% building 847/863 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 68% building 848/863 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 69% building 849/863 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 69% building 850/863 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 69% building 851/863 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/index.js
<s> [webpack.Progress] 69% building 851/864 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/prismjs/components/prism-core.js
<s> [webpack.Progress] 69% building 852/864 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/prismjs/components/prism-core.js
<s> [webpack.Progress] 69% building 853/864 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/prismjs/components/prism-core.js
<s> [webpack.Progress] 69% building 853/865 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_basePick.js
<s> [webpack.Progress] 69% building 854/865 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_basePick.js
<s> [webpack.Progress] 69% building 854/866 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/controls/options/Options.js
<s> [webpack.Progress] 69% building 854/867 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 855/867 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 856/867 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 857/867 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 858/867 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 859/867 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 860/867 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 861/867 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_flatRest.js
<s> [webpack.Progress] 69% building 861/868 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-to-primitive/es2015.js
<s> [webpack.Progress] 69% building 861/869 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.sort.js
<s> [webpack.Progress] 69% building 862/869 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.sort.js
<s> [webpack.Progress] 69% building 862/870 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/startCase.js
<s> [webpack.Progress] 69% building 862/871 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/dist/index.js
<s> [webpack.Progress] 69% building 863/871 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/dist/index.js
<s> [webpack.Progress] 69% building 863/872 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.search.js
<s> [webpack.Progress] 69% building 864/872 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.search.js
<s> [webpack.Progress] 69% building 864/873 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ArraySpeciesCreate.js
<s> [webpack.Progress] 69% building 865/873 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ArraySpeciesCreate.js
<s> [webpack.Progress] 69% building 865/874 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/NoDocs.js
<s> [webpack.Progress] 69% building 866/874 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/client/preview/NoDocs.js
<s> [webpack.Progress] 69% building 866/875 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@babel/runtime/helpers/objectWithoutPropertiesLoose.js
<s> [webpack.Progress] 69% building 867/875 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@babel/runtime/helpers/objectWithoutPropertiesLoose.js
<s> [webpack.Progress] 69% building 867/876 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/getSymbolDescription.js
<s> [webpack.Progress] 69% building 867/877 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ToBoolean.js
<s> [webpack.Progress] 69% building 867/878 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/Get.js
<s> [webpack.Progress] 69% building 868/878 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/Get.js
<s> [webpack.Progress] 69% building 868/879 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/isPlainObject.js
<s> [webpack.Progress] 69% building 869/879 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/isPlainObject.js
<s> [webpack.Progress] 69% building 869/880 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/GetIntrinsic.js
<s> [webpack.Progress] 69% building 869/881 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/2018/IsConstructor.js
<s> [webpack.Progress] 69% building 869/882 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/FlattenIntoArray.js
<s> [webpack.Progress] 69% building 870/882 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/FlattenIntoArray.js
<s> [webpack.Progress] 69% building 870/883 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/BlockBackgroundStyles.js
<s> [webpack.Progress] 69% building 870/884 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/EmptyBlock.js
<s> [webpack.Progress] 68% building 870/885 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/ZoomContext.js
<s> [webpack.Progress] 69% building 871/885 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/blocks/ZoomContext.js
<s> [webpack.Progress] 68% building 871/886 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/number-parse-int.js
<s> [webpack.Progress] 69% building 872/886 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/number-parse-int.js
<s> [webpack.Progress] 68% building 872/887 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-textarea-autosize/dist/react-textarea-autosize.browser.esm.js
<s> [webpack.Progress] 69% building 873/887 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-textarea-autosize/dist/react-textarea-autosize.browser.esm.js
<s> [webpack.Progress] 68% building 873/888 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/Call.js
<s> [webpack.Progress] 68% building 873/889 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/5/Type.js
<s> [webpack.Progress] 68% building 874/889 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/5/Type.js
<s> [webpack.Progress] 68% building 874/890 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IteratorValue.js
<s> [webpack.Progress] 68% building 874/891 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IteratorStep.js
<s> [webpack.Progress] 68% building 874/892 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/number-parse-float.js
<s> [webpack.Progress] 68% building 874/893 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IteratorClose.js
<s> [webpack.Progress] 68% building 874/894 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/GetIterator.js
<s> [webpack.Progress] 68% building 874/895 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/source-loader/dist/extract-source.js
<s> [webpack.Progress] 68% building 874/896 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/hastscript/index.js
<s> [webpack.Progress] 68% building 875/896 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/hastscript/index.js
